req_count_1m,req_count_5m,avg_req_interval,std_req_interval,burst_max_5s,unique_endpoints,unique_methods,get_ratio,post_ratio,4xx_count,5xx_count,401_count,403_count,404_count,avg_latency,max_latency,bytes_sent,avg_payload_size,failed_auth_count,token_changes,distinct_user_agents,admin_route_hits,sensitive_route_hits
12,33,4917.2000845112525,270.8089134919546,7,9,1,0.7171546370200621,0.2187445289617615,1,0,0,0,0,54.68523610517645,26.526988940671888,3370.5568918037607,485.0543218222629,0,0,1,0,0
9,81,3948.8376824738775,343.9218353540145,7,9,1,0.817046897853215,0.13834862332458325,0,0,0,0,0,48.76378742652921,170.95776461564296,491.6798989177235,237.05883740116107,0,0,1,0,1
31,79,4790.645187416327,869.9190402213015,4,9,1,0.8113800036357219,0.16240978626560768,0,0,0,0,0,16.87325975851278,75.66257390054862,2623.0469003198573,102.32593519323191,0,0,1,0,2
22,43,2621.1977341216275,19.378231562799982,5,1,2,0.8380472307259064,0.14011870591419756,0,0,0,0,0,63.35196286230557,109.11565356557902,2572.9926878054707,482.7132995184451,0,0,1,0,2
30,109,3522.8466574688455,609.1975520889877,7,1,1,0.7333614642417897,0.06684863047808949,0,0,0,0,0,33.55653931453332,146.80982721387824,4193.749778843272,145.36061459726352,0,0,1,0,2
21,115,1208.392324894303,328.01426473862705,6,10,1,0.803702544178124,0.081050107050956,1,0,0,1,0,69.76203649325839,119.89982658676932,781.3233075319424,480.11610060908635,0,0,1,0,2
28,114,4146.435474342923,69.36269117756014,2,3,1,0.9497215709915174,0.28578815919962947,0,0,0,0,0,17.111987653055788,36.39769761551618,3408.6697707725984,117.16146584562797,0,0,1,0,1
19,43,2944.8994139680617,320.0822143866324,1,8,1,0.9817530737974429,0.16220751861408064,0,0,0,0,0,23.11276405498475,222.6535942877194,2847.9300869010167,47.840107819739075,0,0,1,0,0
15,7,4514.439907740587,613.8356669785036,3,2,2,0.8608062980097335,0.1473311683517975,0,0,0,0,0,57.655091462083746,103.8902348541903,4690.465697940155,49.579753670026925,0,0,1,0,2
34,76,4519.317217917416,799.1368204162396,7,2,1,0.8523010233808543,0.12730892801451982,0,0,0,0,1,40.65273047886316,62.54426790527007,122.04360561750055,410.7197770812893,0,0,1,0,1
10,39,2541.2584643735204,113.07026206113873,5,11,1,0.7015473655522642,0.17483273217905265,0,0,0,0,0,100.32457511306212,58.96947757718492,3514.437586767525,8.43234567322626,0,0,1,0,0
37,55,540.7543809315437,967.8704631043163,4,11,2,0.7535904987296098,0.10287911285546276,0,0,0,0,0,80.89737464153318,99.32312888006314,1787.1182457460939,49.0756300207294,0,0,1,0,2
38,5,3308.5088917354324,22.754707717648905,3,3,1,0.7786794520447384,0.11259228996748918,0,0,0,0,0,18.495399653421707,231.45568262062284,4468.698118020654,301.5582021715618,0,0,1,0,2
12,35,4591.885351530851,460.71538936315704,2,13,1,0.9585341133836611,0.08759496042443606,0,0,0,0,0,75.54179368812174,191.86858122668795,3603.116107264292,183.8571921302473,0,0,1,1,0
19,23,2956.8071724057627,457.0925578528657,3,5,2,0.7165610312633122,0.17972607419906522,0,0,0,0,0,107.31880832189047,117.58806604459923,2743.5445932066787,359.03920866305634,0,0,1,0,2
24,36,993.9711262760521,649.2283207556579,1,6,1,0.7650528023486447,0.2323822080703094,0,0,0,0,0,115.22874302470737,213.25380804169785,2541.5643918320525,292.00999393078393,0,0,1,0,0
17,96,4960.654817973774,927.5088779941075,3,7,2,0.7275100106294262,0.13012274341841507,0,0,0,0,0,78.55173030899134,189.1926175436825,4676.555996012068,42.91589459797229,0,0,1,0,1
356,1053,30.540305241704324,4.296446285033327,47,13,3,0.17331726315580864,0.3419335086774076,86,33,91,13,30,357.51087588156844,2907.3841127583723,18025.619431537845,6117.531380901862,72,2,8,38,33
20,115,2084.949863883715,604.0198955607979,7,14,2,0.7132506303248164,0.025289072746426253,0,0,0,0,0,74.18053506157294,105.32353974209494,4715.8872297122,174.8506454913179,0,0,1,0,0
